"fit.cluster","Alcohol","Malic","Ash","Alcalinity","Magnesium","Phenols","Flavanoids","Nonflavanoids","Proanthocyanins","Color","Hue","Dilution","Proline","Comp.1","Comp.2","Comp.3"
3,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,3.31675081221478,1.44346263431801,0.165739044614419
3,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,2.20946491691885,-0.333392887080299,2.02645737380754
3,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,2.51674014661038,1.03115129627432,-0.982818670212059
3,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,3.75706560977321,2.75637191371071,0.176191842199495
2,13.24,2.59,2.87,21,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1.00890849379572,0.869830821417206,-2.02668821923541
3,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,3.05025392241808,2.12240111463419,0.629395827043915
3,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,2.44908966959623,1.17485013164948,0.977094890714199
3,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,2.05943687143791,1.60896306836351,-0.146281883061559
3,14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,2.51087429739899,0.918070957333778,1.77096902722894
3,13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,2.75362818763391,0.789437673833607,0.984247489518238
3,14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,3.47973668273121,1.3023332371236,0.422735216580849
3,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5,1.17,2.82,1280,1.75475290129459,0.611977228745633,1.19087831963018
3,13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,2.11346234031509,0.67570633914262,0.865086425616657
3,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,3.45815681933672,1.13062987617294,1.2042763525382
3,14.38,1.87,2.38,12,102,3.3,3.64,0.29,2.96,7.5,1.2,3,1547,4.31278390676556,2.09597557534126,1.263912752358
3,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,2.30518820082797,1.66255172998906,-0.217902615595956
3,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,2.17195527374151,2.32730533619142,-0.831729865986006
3,13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,1.89897117656276,1.63136887864284,-0.794913792381069
3,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,3.54198508194347,2.51834366930665,0.485458507666296
3,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,2.08452220473031,1.06113799358386,0.164746678499474
3,14.06,1.63,2.28,16,126,3,3.17,0.24,2.1,5.65,1.09,3.71,780,3.1244025351672,0.786897105650896,0.364887082988845
2,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,1.08657006833224,0.241743551332841,-0.936961599610645
3,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4,1035,2.53522407990372,-0.0918406207208793,0.31193265934797
3,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,1.64498834125447,-0.516278930067234,-0.143885094670794
3,13.5,1.81,2.61,20,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,1.7615758722693,-0.31714893268438,-0.890285647405688
2,13.05,2.05,3.22,25,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,0.990079101608856,0.940667338190635,-3.82090800819484
3,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,1.77527762811337,0.686175134285024,0.0867004064887654
3,13.3,1.72,2.14,17,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,1.23542396430991,-0.0898070413606388,1.38689654489644
3,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,2.18840633445196,0.689569620661626,-1.39456688085036
3,14.02,1.68,2.21,16,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,2.25610898128371,0.191461936886666,1.09265725750829
3,13.73,1.5,2.7,22.5,101,3,3.25,0.29,2.38,5.7,1.19,2.71,1285,2.50022002578942,1.24083383489694,-1.38601785471568
3,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,2.67741104744401,1.47187364610325,0.332261728375096
3,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,1.62857911643092,0.052704450575325,0.167128706245335
3,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3,1235,1.90269086223815,1.63306043476998,-1.17208211917535
3,13.51,1.8,2.65,19,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,1.41038852659541,0.697934324611358,-0.479743025168661
3,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,1.90382623219449,0.176710951095457,-0.450835040037208
3,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,1.38486223037484,0.65863985366115,-0.458438580852062
3,13.05,1.65,2.55,18,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,1.12220741044131,0.114109760296889,0.0391072766897501
3,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,1.50219450061819,-0.769432006431007,1.42617734589046
3,14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.08,5.1,0.89,3.53,760,2.52980109237181,1.80300197606183,0.343152388979689
3,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,2.5880954258544,0.779616304192508,0.118477466113736
